ticket_id,subject,description,assigned_team
TKT00309,Gift card balance check,I received a gift card but don't know the remaining balance.,General
TKT00343,Return policy question,Can I return an item after 30 days if it's unopened? Please help as soon as possible.,General
TKT00449,Billing cycle question,When does my billing cycle start and end?,Billing
TKT00330,VPN connection issue,I cannot connect to the company VPN from my home network.,Technical
TKT00364,Warranty information,Does this product come with a warranty and what does it cover?,General
TKT00338,Annual renewal fee,My annual renewal was processed without notification.,Billing
TKT00278,Software update failed,The update downloads but fails at 45 percent every time.,Technical
TKT00081,Subscription charge error,I was charged for a subscription I thought I canceled.,Billing
TKT00018,Account upgrade request,I want to upgrade from basic to premium plan mid-cycle.,General
TKT00397,Store location query,What are your store hours on weekends?,General
TKT00131,Connection timeout error,I keep getting a connection timeout when trying to access the dashboard.,Technical
TKT00101,Promo code not applied,I entered a discount code at checkout but was charged full price.,Billing
TKT00380,Printer not responding,The printer shows as offline even though it's connected to the network.,Technical
TKT00097,Files not syncing,My files are not syncing between my laptop and the cloud drive.,Technical
TKT00323,Two-factor authentication problem,The authentication app is not generating valid codes.,Technical
TKT00158,Warranty information,Does this product come with a warranty and what does it cover?,General
TKT00076,VPN connection issue,I cannot connect to the company VPN from my home network.,Technical
TKT00488,Printer not responding,The printer shows as offline even though it's connected to the network.,Technical
TKT00410,Annual renewal fee,My annual renewal was processed without notification.,Billing
TKT00268,Subscription charge error,I was charged for a subscription I thought I canceled.,Billing
TKT00175,Promo code not applied,I entered a discount code at checkout but was charged full price.,Billing
TKT00088,Warranty information,Does this product come with a warranty and what does it cover?,General
TKT00168,Promo code not applied,I entered a discount code at checkout but was charged full price.,Billing
TKT00485,App crashes on startup,The application closes immediately after opening. Version 3.2.1.,Technical
TKT00072,Promo code not applied,I entered a discount code at checkout but was charged full price.,Billing
TKT00062,Overcharged this month,My bill shows an extra charge I don't recognize.,Billing
TKT00191,Connection timeout error,I keep getting a connection timeout when trying to access the dashboard.,Technical
TKT00219,Product availability question,Do you have this product in the blue color variant?,General
TKT00089,Connection timeout error,I keep getting a connection timeout when trying to access the dashboard.,Technical
TKT00360,Files not syncing,My files are not syncing between my laptop and the cloud drive.,Technical
TKT00068,Invoice discrepancy,The invoice amount doesn't match my plan pricing.,Billing
TKT00303,Printer not responding,The printer shows as offline even though it's connected to the network.,Technical
TKT00052,Invoice discrepancy,The invoice amount doesn't match my plan pricing.,Billing
TKT00141,Account upgrade request,I want to upgrade from basic to premium plan mid-cycle.,General
TKT00286,Charge after cancellation,I canceled my account last month but got charged again. Please help as soon as possible.,Billing
TKT00146,Payment not processed,I made a payment three days ago but it still shows as pending.,Billing
TKT00493,Charge after cancellation,I canceled my account last month but got charged again.,Billing
TKT00288,Product availability question,Do you have this product in the blue color variant?,General
TKT00301,Software update failed,The update downloads but fails at 45 percent every time.,Technical
TKT00344,Warranty information,Does this product come with a warranty and what does it cover?,General
TKT00327,Store location query,What are your store hours on weekends?,General
TKT00075,Billing cycle question,When does my billing cycle start and end?,Billing
TKT00368,Product availability question,Do you have this product in the blue color variant?,General
TKT00231,Subscription charge error,I was charged for a subscription I thought I canceled.,Billing
TKT00302,Promo code not applied,I entered a discount code at checkout but was charged full price.,Billing
TKT00135,Charge after cancellation,I canceled my account last month but got charged again.,Billing
TKT00025,Product availability question,Do you have this product in the blue color variant?,General
TKT00144,Return policy question,Can I return an item after 30 days if it's unopened?,General
TKT00113,Invoice discrepancy,The invoice amount doesn't match my plan pricing.,Billing
TKT00413,Feedback submission,I'd like to provide feedback on a recent purchase experience.,General
TKT00467,Billing cycle question,When does my billing cycle start and end? Please help as soon as possible.,Billing
TKT00217,Annual renewal fee,My annual renewal was processed without notification.,Billing
TKT00492,Charge after cancellation,I canceled my account last month but got charged again. Please help as soon as possible.,Billing
TKT00310,Payment not processed,I made a payment three days ago but it still shows as pending.,Billing
TKT00192,Return policy question,Can I return an item after 30 days if it's unopened?,General
TKT00289,Account upgrade request,I want to upgrade from basic to premium plan mid-cycle.,General
TKT00174,Printer not responding,The printer shows as offline even though it's connected to the network. Please help as soon as possible.,Technical
TKT00085,Software update failed,The update downloads but fails at 45 percent every time. Please help as soon as possible.,Technical
TKT00004,Store location query,What are your store hours on weekends? Please help as soon as possible.,General
TKT00357,Gift card balance check,I received a gift card but don't know the remaining balance.,General
TKT00351,VPN connection issue,I cannot connect to the company VPN from my home network. Please help as soon as possible.,Technical
TKT00156,Duplicate charge on card,There are two identical charges on my credit card statement.,Billing
TKT00263,Gift card balance check,I received a gift card but don't know the remaining balance.,General
TKT00128,Email delivery delay,Emails are taking several hours to arrive after being sent.,Technical
TKT00340,Printer not responding,The printer shows as offline even though it's connected to the network.,Technical
TKT00007,Two-factor authentication problem,The authentication app is not generating valid codes. Please help as soon as possible.,Technical
TKT00374,Password reset not working,I requested a password reset but never received the email.,Technical
TKT00379,Annual renewal fee,My annual renewal was processed without notification.,Billing
TKT00233,Connection timeout error,I keep getting a connection timeout when trying to access the dashboard.,Technical
TKT00433,Payment not processed,I made a payment three days ago but it still shows as pending.,Billing
TKT00335,Media contact,I'm a journalist looking for a press contact for a story.,General
TKT00307,Cannot log into account,I enter my username and password but the login button doesn't respond.,Technical
TKT00300,Printer not responding,The printer shows as offline even though it's connected to the network.,Technical
TKT00475,Overcharged this month,My bill shows an extra charge I don't recognize.,Billing
TKT00383,Annual renewal fee,My annual renewal was processed without notification.,Billing
TKT00150,Software update failed,The update downloads but fails at 45 percent every time.,Technical
TKT00339,Shipping status inquiry,My order shows shipped but the tracking number doesn't work.,General
TKT00293,Annual renewal fee,My annual renewal was processed without notification.,Billing
TKT00427,Printer not responding,The printer shows as offline even though it's connected to the network. Please help as soon as possible.,Technical
TKT00406,Payment not processed,I made a payment three days ago but it still shows as pending.,Billing
TKT00177,Charge after cancellation,I canceled my account last month but got charged again.,Billing
TKT00426,Account upgrade request,I want to upgrade from basic to premium plan mid-cycle.,General
TKT00183,Email delivery delay,Emails are taking several hours to arrive after being sent.,Technical
TKT00222,Printer not responding,The printer shows as offline even though it's connected to the network.,Technical
TKT00038,Password reset not working,I requested a password reset but never received the email.,Technical
TKT00184,Connection timeout error,I keep getting a connection timeout when trying to access the dashboard. Please help as soon as possible.,Technical
TKT00494,VPN connection issue,I cannot connect to the company VPN from my home network.,Technical
TKT00305,Email delivery delay,Emails are taking several hours to arrive after being sent.,Technical
TKT00216,Charge after cancellation,I canceled my account last month but got charged again.,Billing
TKT00125,Connection timeout error,I keep getting a connection timeout when trying to access the dashboard.,Technical
TKT00298,Product availability question,Do you have this product in the blue color variant?,General
TKT00250,Charge after cancellation,I canceled my account last month but got charged again.,Billing
TKT00215,Two-factor authentication problem,The authentication app is not generating valid codes.,Technical
TKT00241,Software update failed,The update downloads but fails at 45 percent every time. Please help as soon as possible.,Technical
TKT00180,Invoice discrepancy,The invoice amount doesn't match my plan pricing.,Billing
TKT00275,Account upgrade request,I want to upgrade from basic to premium plan mid-cycle.,General
TKT00011,Annual renewal fee,My annual renewal was processed without notification.,Billing
TKT00205,Software update failed,The update downloads but fails at 45 percent every time.,Technical
TKT00178,Invoice discrepancy,The invoice amount doesn't match my plan pricing.,Billing
TKT00160,Software update failed,The update downloads but fails at 45 percent every time.,Technical
TKT00324,Printer not responding,The printer shows as offline even though it's connected to the network.,Technical
TKT00058,Overcharged this month,My bill shows an extra charge I don't recognize.,Billing
TKT00244,Password reset not working,I requested a password reset but never received the email.,Technical
TKT00484,Gift card balance check,I received a gift card but don't know the remaining balance.,General
TKT00197,Cannot log into account,I enter my username and password but the login button doesn't respond.,Technical
TKT00034,Feedback submission,I'd like to provide feedback on a recent purchase experience. Please help as soon as possible.,General
TKT00118,Connection timeout error,I keep getting a connection timeout when trying to access the dashboard.,Technical
TKT00000,Email delivery delay,Emails are taking several hours to arrive after being sent.,Technical
TKT00284,Account upgrade request,I want to upgrade from basic to premium plan mid-cycle.,General
TKT00281,Two-factor authentication problem,The authentication app is not generating valid codes.,Technical
TKT00019,Partnership inquiry,Our company is interested in a partnership opportunity.,General
TKT00292,Feedback submission,I'd like to provide feedback on a recent purchase experience.,General
TKT00456,Overcharged this month,My bill shows an extra charge I don't recognize.,Billing
TKT00129,Account upgrade request,I want to upgrade from basic to premium plan mid-cycle.,General
